Aapestt,60,0.71,72.1,94.6,49.5%,1.02,16.4%
Aaron,66,0.68,77.3,103.3,46.4%,1.04,16.8%
abby,53,0.68,71.7,93.7,45.5%,1.01,16.2%
abdi,5,0.50,59.1,76.0,36.9%,0.75,11.4%
abiraju,30,0.62,70.2,92.1,44.2%,0.98,13.6%
abizz,46,0.65,72.6,96.9,44.6%,0.99,15.3%
ABM,41,0.63,72.0,96.8,42.5%,0.97,15.1%
abp,38,0.62,79.4,96.5,50.0%,1.06,10.0%
abr,48,0.66,72.2,93.5,46.2%,1.04,15.4%
absolute,7,0.58,58.1,77.4,45.7%,0.81,9.9%
Abyss,13,0.54,66.3,87.6,38.4%,0.85,12.3%
AccuracyTG,53,0.68,70.5,88.8,47.6%,1.07,16.5%
Aceari,1,0.42,49.8,94.0,32.3%,0.60,9.7%
AcilioN,43,0.64,72.0,79.0,44.6%,0.94,15.2%,0.88
acoR,63,0.70,72.5,94.4,47.2%,1.06,17.4%,1.06
ad0rfin,54,0.66,72.6,91.2,44.7%,1.01,16.8%
adai,86,0.76,78.2,112.5,46.5%,1.07,20.5%
Adam9130,40,0.63,73.1,97.6,43.6%,0.98,14.6%
adamb,63,0.68,75.8,97.6,46.3%,1.09,16.7%
AdamJC,37,0.62,70.6,90.0,44.1%,0.93,15.1%
adamS,60,0.67,76.7,98.6,46.4%,1.07,16.1%
Adams0n,12,0.57,64.5,82.2,41.3%,0.90,11.9%
ADDICT,71,0.71,75.8,95.6,48.0%,1.12,17.5%
adeX,79,0.74,75.7,103.7,47.8%,1.11,19.2%
ADK,72,0.71,79.1,113.5,47.3%,0.97,16.9%
Adrenaline,44,0.63,70.7,95.8,41.8%,0.98,16.4%
AdrieN,44,0.66,73.5,102.8,46.9%,0.91,14.4%
ADRON,45,0.65,71.8,92.7,44.4%,1.00,15.4%
AE,79,0.73,78.0,105.2,48.6%,1.08,18.5%
aelor,18,0.59,66.3,91.9,46.2%,0.77,12.8%
Aerial,73,0.71,77.7,100.2,47.6%,1.10,17.5%
AEROj,68,0.69,77.3,117.9,46.5%,0.92,17.2%
Affava,48,0.67,70.2,92.4,45.2%,1.03,16.0%
afro,63,0.70,72.6,94.5,47.3%,1.10,17.3%
afufu,6,0.54,59.5,77.1,39.7%,0.85,11.1%
Ag1l,43,0.65,71.4,91.3,45.0%,1.01,15.2%
AGB,4,0.43,62.7,84.9,34.2%,0.69,9.2%
agoz,66,0.70,72.6,106.7,47.0%,1.01,18.7%
agR,26,0.61,67.0,90.7,44.2%,0.95,13.9%
agt,2,0.49,58.4,84.9,36.6%,0.66,9.8%
Aida,42,0.63,72.6,92.8,43.9%,1.00,15.0%
aidKiT,52,0.68,70.4,93.5,46.5%,1.05,16.4%
Aidy,8,0.54,64.0,74.9,40.6%,0.78,10.4%,0.74
Ail,4,0.50,59.8,64.5,37.9%,0.82,10.3%
aiM,41,0.64,69.2,89.1,43.3%,0.98,15.9%
aimy,76,0.74,79.4,106.0,50.0%,1.12,16.9%
Airax,29,0.60,70.3,96.4,41.9%,0.92,13.8%
Aisu,27,0.62,66.7,97.7,44.4%,0.91,13.9%
aiveri,27,0.61,68.0,95.2,42.8%,0.91,13.8%
